Clause,PreprocessedText
 The Board may appoint any of the Big Four Accounting Firms as the internal auditor of the Company.,board may appoint big four accounting firm internal auditor company
" The Shareholders shall either by themselves or through their nominated Directors, procure that the Company observes, performs and acts in compliance with the provisions of this Agreement and the Company does all such acts as may be required or necessary for giving full effect to the terms of this Agreement.",shareholder shall either nominated director procure company observes performs act compliance provision agreement company act may required necessary giving full effect term agreement
" Further, the Shareholder shall procure that its/ their respective Affiliates, to which Shares are Transferred or allotted shall be bound by the terms of this Agreement.",shareholder shall procure respective affiliate share transferred allotted shall bound term agreement
" The relevant Shareholder shall be responsible for ensuring compliance, and shall be liable for any non-compliance with the provisions of this Agreement by its Affiliates.",relevant shareholder shall responsible ensuring compliance shall liable noncompliance provision agreement affiliate
" The Shareholders will mutually agree on the human resource policy, administrative policies, business development policies and any other policies required to be incorporated for the internal management of the Company.",shareholder mutually agree human resource policy administrative policy business development policy policy required incorporated internal management company
" The Company shall and each Shareholder by the exercise of its rights as a Shareholder procures that the Company shall: carry the Business subject to and in accordance with the Business Plan, the provisions of this Agreement, and directions of the Board; and keep the Shareholders fully informed of all material developments regarding its financial and business affairs and shall notify the Shareholders immediately upon becoming aware of any material litigation or regulatory proceeding or investigation affecting or matters likely to affect the Company.",company shall shareholder exercise right shareholder procures company shall carry business subject accordance business plan provision agreement direction board keep shareholder fully informed material development regarding financial business affair shall notify shareholder immediately upon becoming aware material litigation regulatory proceeding investigation affecting matter likely affect company
 RESTRICTIONS ON TRANSFER Transfer of Shares.,restriction transfer transfer share
" Subject to Applicable Law and except as expressly provided in this Agreement, each Shareholder covenants and agrees that it shall not Transfer any Equity Securities to any Person, or create or permit to subsist any Encumbrance over the Equity Securities owned by it.",subject applicable law except expressly provided agreement shareholder covenant agrees shall transfer equity security person create permit subsist encumbrance equity security owned
 Any Transfer of the Equity Securities made by any Party in violation of this Agreement shall be null and void.,transfer equity security made party violation agreement shall null void
 Neither the Board nor the Parties shall approve or ratify any Transfer of Equity Securities made in contravention of the provisions of this Agreement and the Company shall be caused not to record any such Transfer on the statutory registers of the Company maintained for the Equity Securities.,neither board party shall approve ratify transfer equity security made contravention provision agreement company shall caused record transfer statutory register company maintained equity security
 Any Transfer of Equity Securities by any Shareholder in contravention of the provisions of this Agreement shall constitute a material breach of this Agreement.,transfer equity security shareholder contravention provision agreement shall constitute material breach agreement
" The Parties agree that subject to the provisions of this Agreement, the Transfer restrictions in this Agreement and in the Charter Documents shall not be capable of being avoided by the holding of Equity Securities indirectly through any other Person (other than the Parties) that can itself be sold in order to dispose of an interest in Equity Securities free of such restrictions.",party agree subject provision agreement transfer restriction agreement charter document shall capable avoided holding equity security indirectly person party sold order dispose interest equity security free restriction
" Nothing contained in this Clause  shall apply to: (i) any Encumbrance created on the Equity Securities held by any Shareholder, in favour of any lender(s) who has provided any debt funding to the Company in accordance with this Agreement; (ii) any merger, amalgamation, consolidation or other business combination effected pursuant to a vote of the Shareholders made in accordance with the Act, the Articles and this Agreement and involving the Company; (iii) a buyback or redemption of Equity Securities from any Shareholder by the Company out of lawfully available funds pursuant to a plan or agreement approved by the Board in accordance with this Agreement (including any capital reduction); (iv) the sale of any Equity Securities to an underwriter or the public in connection with any public offering of Equity Securities of the Company (including by way of an IPO); and (v) any shares and other securities of Mike and the shares and other securities of the direct and indirect shareholders of Mike (including any Transfers of such shares and securities), except to the limited extent set out in Clause .",nothing contained clause shall apply encumbrance created equity security held shareholder favour lender provided debt funding company accordance agreement ii merger amalgamation consolidation business combination effected pursuant vote shareholder made accordance act article agreement involving company iii buyback redemption equity security shareholder company lawfully available fund pursuant plan agreement approved board accordance agreement including capital reduction iv sale equity security underwriter public connection public offering equity security company including way ipo v share security mike share security direct indirect shareholder mike including transfer share security except limited extent set clause
" Unless specifically provided in this Agreement, the Equity Securities of the Company held by the Parties shall be locked-in for a period of  (ten) years from the Completion Date (the “Lock-in Period”) and no Party shall, subject to Applicable Law do any of the following, during the Lock-in Period without the prior written consent of the other Party in respect of the Equity Securities of the Company: create any Encumbrance over any of the Equity Securities held by it; grant any option over any of its Equity Securities; Transfer any Equity Securities to any Person other than to an Affiliate (in accordance with the provisions of this Agreement); or enter into an agreement in respect of the voting rights attached to any of its Equity Securities.",unless specifically provided agreement equity security company held party shall lockedin period ten year completion date lockin period party shall subject applicable law following lockin period without prior written consent party respect equity security company create encumbrance equity security held grant option equity security transfer equity security person affiliate accordance provision agreement enter agreement respect voting right attached equity security
" Notwithstanding anything contained in this Agreement, (i) Mike shall not, either directly or indirectly, Transfer any of its Equity Securities to any MSL Competitor without the prior written consent of MSL; and (ii) MSL shall not, either directly or indirectly, Transfer any of its Equity Securities to Mike Competitor without the prior written consent of Mike.",notwithstanding anything contained agreement mike shall either directly indirectly transfer equity security msl competitor without prior written consent msl ii msl shall either directly indirectly transfer equity security mike competitor without prior written consent mike
" Provided, further, it is agreed that nothing contained in this Clause .",provided agreed nothing contained clause
" shall restrict or otherwise prohibit the Parties from indirectly Transferring its respective Equity Securities to any financial investors, such as private equity investors, venture capital funds and other similar financial investors who hold investments in Person(s) for purely financial purposes and not for a strategic purpose, although such Persons may fall within the purview of Mike Competitor(s) or MSL Competitor(s) (as the case may be) for the purposes of this Agreement.",shall restrict otherwise prohibit party indirectly transferring respective equity security financial investor private equity investor venture capital fund similar financial investor hold investment person purely financial purpose strategic purpose although person may fall within purview mike competitor msl competitor case may purpose agreement
 Affiliate Transfer.,affiliate transfer
" Subject to Applicable Law, and notwithstanding the provisions of Clauses .",subject applicable law notwithstanding provision clause
 and .,
" above, each Party may Transfer any of the Equity Securities held by it to its respective Affiliate(s), upon such Affiliate(s) executing an Affiliate Deed of Adherence (“Affiliate Transfer”).",party may transfer equity security held respective affiliate upon affiliate executing affiliate deed adherence affiliate transfer
 The Affiliate Deed of Adherence is required to be executed prior to the acquisition of any of the Equity Securities and a duly executed copy of the same is required to be placed before the Board prior to the registration of any such Transfer by the Board.,affiliate deed adherence required executed prior acquisition equity security duly executed copy required placed board prior registration transfer board
 The obligations of the Party Transferring its Equity Securities shall continue to subsist subsequent to an Affiliate Transfer and the Party shall be liable for all non-compliances or breach of the provisions contained in this Agreement by such an Affiliate.,obligation party transferring equity security shall continue subsist subsequent affiliate transfer party shall liable noncompliance breach provision contained agreement affiliate
" If any Affiliate is going to cease to be an Affiliate of the transferring Shareholder after an Affiliate Transfer, then prior to the consummation of the actions resulting in such Affiliate ceasing to be an Affiliate, the relevant Party, shall buy back or otherwise acquire the Equity Securities from such Affiliate.",affiliate going cease affiliate transferring shareholder affiliate transfer prior consummation action resulting affiliate ceasing affiliate relevant party shall buy back otherwise acquire equity security affiliate
 Any failure by the Party to buy back or otherwise acquire the Shares from such an Affiliate prior to the relevant Affiliate ceasing to continue as an Affiliate shall constitute a material breach of this Agreement.,failure party buy back otherwise acquire share affiliate prior relevant affiliate ceasing continue affiliate shall constitute material breach agreement
" Shareholder Affiliate Block If any Party Transfers any Equity Securities to any of its Affiliate(s), all the rights under this Agreement (or otherwise) available to such Party shall be exercised by the Party and such Affiliate(s) jointly, as a block (“Affiliate Block”), and their rights, obligations and undertakings hereunder shall be joint and several, and a breach by any one Person in the Affiliate Block of its rights, obligations or undertakings hereunder shall be deemed as a collective breach by the other members of the Affiliate Block of their respective rights, obligations or undertakings hereunder.",shareholder affiliate block party transfer equity security affiliate right agreement otherwise available party shall exercised party affiliate jointly block affiliate block right obligation undertaking hereunder shall joint several breach one person affiliate block right obligation undertaking hereunder shall deemed collective breach member affiliate block respective right obligation undertaking hereunder
" The Affiliate Block shall forthwith upon such Transfer of Equity Securities, and on the date of closing of such Transfer, nominate one representative (“Affiliate Representative”) who shall (a) act for and on behalf of each member of the Affiliate Block under this Agreement and the Charter Documents in respect of any right, action or waiver to be exercised by any member of the Affiliate Block and (b) be responsible for causing each member of the Affiliate Block to perform its obligations and undertakings hereunder.",affiliate block shall forthwith upon transfer equity security date closing transfer nominate one representative affiliate representative shall act behalf member affiliate block agreement charter document respect right action waiver exercised member affiliate block b responsible causing member affiliate block perform obligation undertaking hereunder
" Any notice given by or to such Affiliate Representative under the Agreement shall be deemed also to be given by or to the other members of the Affiliate Block, as the case may be.",notice given affiliate representative agreement shall deemed also given member affiliate block case may
" Provided, further, for such purpose, each member of the Affiliate Block shall duly execute a Power of Attorney in favour of the Affiliate Representative appointing him as the duly constituted attorney of each member of the Affiliate Block, so as to enable him / her to perform his / her roles and responsibilities as set out under this Clause .",provided purpose member affiliate block shall duly execute power attorney favour affiliate representative appointing duly constituted attorney member affiliate block enable perform role responsibility set clause
" It is clarified that the members of any Shareholder’s Affiliate Block shall not be entitled to multiple rights in relation to the rights of the relevant Shareholder under this Agreement, and the rights available to a Shareholder shall be exercised jointly by such Affiliate Block jointly.",clarified member shareholder affiliate block shall entitled multiple right relation right relevant shareholder agreement right available shareholder shall exercised jointly affiliate block jointly
" Each of the Shareholders hereby unconditionally and irrevocably covenant to the Company and the other Shareholder, that they shall ensure the full and timely performance by the relevant Shareholder’s Affiliate Block of their obligations under this Agreement and shall be responsible in the same manner if the Equity Securities were not Transferred to the Shareholder’s Affiliate Block.",shareholder hereby unconditionally irrevocably covenant company shareholder shall ensure full timely performance relevant shareholder affiliate block obligation agreement shall responsible manner equity security transferred shareholder affiliate block
 Right of first offer Subject to the provisions of Clause .,right first offer subject provision clause
" (Lock-in), and Clause .",lockin clause
" (Transfer to competitor), as applicable, none of the Shareholders shall, at any time, Transfer the Equity Securities held by it in the Company except pursuant to the following provisions, provided however the provisions of this Clause .",transfer competitor applicable none shareholder shall time transfer equity security held company except pursuant following provision provided however provision clause
 shall not apply in respect of the following Transfers (such Transfers to be referred to as “Exempt Transfers”): (i) any Transfer of Equity Securities pursuant to Clause .,shall apply respect following transfer transfer referred exempt transfer transfer equity security pursuant clause
 hereto; (ii) any Transfer of Equity Securities as contemplated under Clause .,hereto ii transfer equity security contemplated clause
 hereto; (iii) any Transfer of Equity Securities pursuant to Clause .,hereto iii transfer equity security pursuant clause
 (Affiliate Transfer); (iv) any Transfer of Equity Securities pursuant to Clause .,affiliate transfer iv transfer equity security pursuant clause
 (Call and Put Option); or (v) any Transfer of Equity Securities in accordance with Clause .,call put option v transfer equity security accordance clause
 (Transfer to competitors).,transfer competitor
" If any Shareholder (“ROFO Offeror”) proposes to Transfer all of the Equity Securities held by them to any Person, the other Shareholder (the “ROFO Offeree”) shall have a right of first offer (“Right of First Offer”) to purchase such Equity Securities.",shareholder rofo offeror proposes transfer equity security held person shareholder rofo offeree shall right first offer right first offer purchase equity security
" The process to be followed for the exercise of the Right of First Offer is set out below: The ROFO Offeror shall give a written notice (hereinafter referred to as “ROFO Notice”) to the ROFO Offeree, specifying the following: ROFO Offeror’s intention to sell all of the Equity Securities held by it in the Company; the maximum number of Equity Securities proposed to be Transferred (hereinafter referred to as the “ROFO Shares”); and the aggregate number of Equity Securities, the ROFO Offeror and / or its Affiliates legally and beneficially owns at that time.",process followed exercise right first offer set rofo offeror shall give written notice hereinafter referred rofo notice rofo offeree specifying following rofo offeror intention sell equity security held company maximum number equity security proposed transferred hereinafter referred rofo share aggregate number equity security rofo offeror affiliate legally beneficially owns time
" Within  (six) months of the receipt of such ROFO Notice (the “ROFO Notification Period”), the ROFO Offeree will have a right (but not an obligation) to notify the ROFO Offeror, by way of a written notice (“ROFO Exercise Notice”), the price per Equity Security (“Offer Price”) at which it is willing to purchase all the ROFO Shares, the identity of the Person(s) who would be acquiring the ROFO Shares (“ROFO Nominee”, it being clarified that the ROFO Nominee may acquire all of the ROFO Shares to the exclusion of the ROFO Offeree) and the other terms and conditions for purchase of the ROFO Shares.",within six month receipt rofo notice rofo notification period rofo offeree right obligation notify rofo offeror way written notice rofo exercise notice price per equity security offer price willing purchase rofo share identity person would acquiring rofo share rofo nominee clarified rofo nominee may acquire rofo share exclusion rofo offeree term condition purchase rofo share
" It is hereby agreed that the ROFO Nominee may be: (i) an Affiliate of the ROFO Offeree; (ii) the Company, in which event the ROFO Shares shall be acquired by way of a buyback to the extent permitted under Applicable Law; and/or (iii) any other Person as may be nominated by the ROFO Offeree.",hereby agreed rofo nominee may affiliate rofo offeree ii company event rofo share shall acquired way buyback extent permitted applicable law andor iii person may nominated rofo offeree
" The ROFO Exercise Notice shall be irrevocable and shall constitute a binding offer by the ROFO Offeree and/or, if applicable, the ROFO Nominee, to purchase the ROFO Shares at the price set out in the ROFO Exercise Notice.",rofo exercise notice shall irrevocable shall constitute binding offer rofo offeree andor applicable rofo nominee purchase rofo share price set rofo exercise notice
 Failure to provide the ROFO Exercise Notice in the ROFO Notification Period shall be deemed to mean that the ROFO Offeree has waived its right of first offer under this Clause .,failure provide rofo exercise notice rofo notification period shall deemed mean rofo offeree waived right first offer clause
 and the ROFO Offeror shall be free to Transfer the ROFO Shares to any third-party subject to Clause .,rofo offeror shall free transfer rofo share thirdparty subject clause
 below.,
" Within  (forty-five) Business Days from the date of receipt of the ROFO Exercise Notice, the ROFO Offeror shall either: Accept the offer of the ROFO Offeree and / or ROFO Nominee as set out in the ROFO Exercise Notice, by service of a written notice (“ROFO Acceptance Notice”) to the ROFO Offeree and / or ROFO Nominee, which shall be binding on the ROFO Offeror as well as the ROFO Offeree (or ROFO Nominee as the case may be), and the ROFO Offeree and / or ROFO Nominee shall be obligated to purchase the ROFO Securities on terms and conditions and the price as set out in the ROFO Exercise Notice within  (ninety) Business Days from the date of receipt of ROFO Acceptance Notice (“Agreed Period”).",within fortyfive business day date receipt rofo exercise notice rofo offeror shall either accept offer rofo offeree rofo nominee set rofo exercise notice service written notice rofo acceptance notice rofo offeree rofo nominee shall binding rofo offeror well rofo offeree rofo nominee case may rofo offeree rofo nominee shall obligated purchase rofo security term condition price set rofo exercise notice within ninety business day date receipt rofo acceptance notice agreed period
 The Agreed Period shall stand automatically extended for a further period of  (ninety)Business Days for sole purpose of obtaining any Approvals as may be required to for completing the sale and purchase of the ROFO Shares (“Extended Period”).,agreed period shall stand automatically extended period ninetybusiness day sole purpose obtaining approval may required completing sale purchase rofo share extended period
" The Extended Period may be further extended jointly by the ROFO Offeror and ROFO Offeree for such further period as may be mutually agreed, and such further extended period shall be deemed to be the Extended Period for the purposes of this Clause .",extended period may extended jointly rofo offeror rofo offeree period may mutually agreed extended period shall deemed extended period purpose clause
(a).,
" Failure to purchase the ROFO Shares within the Agreed Period or Extended Period, as the case may be, shall be deemed to mean that the ROFO Offeree has waived its right of first offer under this Clause .",failure purchase rofo share within agreed period extended period case may shall deemed mean rofo offeree waived right first offer clause
 and the ROFO Offeror shall be free to Transfer all of the ROFO Shares to any third-party subject to the provisions below; or Transfer or dispose by way of sale all of the ROFO Shares to a third-party in one tranche: (a) on terms and conditions not more favourable than those offered by the ROFO Offeree under the ROFO Exercise Notice; (b) at a price per ROFO Shares at least % of the price per Equity Security offered by the ROFO Offeree under the ROFO Exercise Notice; and (c) compliance with Clause .,rofo offeror shall free transfer rofo share thirdparty subject provision transfer dispose way sale rofo share thirdparty one tranche term condition favourable offered rofo offeree rofo exercise notice b price per rofo share least price per equity security offered rofo offeree rofo exercise notice c compliance clause
" The ROFO Offeror shall provide to the ROFO Offeree adequate documents to evidence compliance with (a), (b) and (c).",rofo offeror shall provide rofo offeree adequate document evidence compliance b c
 In the event the ROFO Offeror is Transferring its Equity Securities to a third party pursuant to this Clause .,event rofo offeror transferring equity security third party pursuant clause
", the ROFO Offeror shall ensure that, simultaneous with the consummation of any such Transfer, such third-party transferee shall execute the Deed of Adherence, the proforma of which is enclosed at Schedule  which shall be part of this Agreement, agreeing to be bound by the terms of this Agreement.",rofo offeror shall ensure simultaneous consummation transfer thirdparty transferee shall execute deed adherence proforma enclosed schedule shall part agreement agreeing bound term agreement
" Parties hereby agree that unless otherwise agreed by the Parties in writing, the restrictions set out in this Clause .",party hereby agree unless otherwise agreed party writing restriction set clause
" shall apply in its entirety to any and all securities (as such term is defined under the Companies Act) not being Equity Securities held by a Shareholder, on a mutatis mutandis basis.",shall apply entirety security term defined company act equity security held shareholder mutatis mutandis basis
" GENERAL PROVISIONS RELATING TO TRANSFER AND ISSUANCE OF SHARES The Shareholders shall procure that the Board shall ensure that no Equity Securities, options or other instruments issued by the Company are Transferred, issued or registered other than in compliance with the provisions of this Agreement and the Charter Documents.",general provision relating transfer issuance share shareholder shall procure board shall ensure equity security option instrument issued company transferred issued registered compliance provision agreement charter document
 The Parties shall use all reasonable endeavours to facilitate the obtaining of any necessary Approvals from any Governmental Authority which are required to give effect to the Transfer of Equity Securities in accordance with this Agreement.,party shall use reasonable endeavour facilitate obtaining necessary approval governmental authority required give effect transfer equity security accordance agreement
" Notwithstanding anything to the contrary contained in this Agreement, (i) in the event either Party and its Affiliates, in the aggregate, hold less than % (Twenty six percent) but at least % (Ten percent) of the Share Capital under any circumstances, all rights (including, for the avoidance of doubts, the rights set out in Clause .",notwithstanding anything contrary contained agreement event either party affiliate aggregate hold le twenty six percent least ten percent share capital circumstance right including avoidance doubt right set clause
 and .,
"), but not the obligations available to such Party and/or its Affiliates, as the case may be, under this Agreement, shall fall away, save and except, the rights under Clause .",obligation available party andor affiliate case may agreement shall fall away save except right clause
" (Capital Call), right to nominate  (one) Director under Clause .",capital call right nominate one director clause
", rights under Clause  (Right of First Offer) and the right to receive information under Clause .",right clause right first offer right receive information clause
"; and (ii) in the event either Party and its Affiliates, in the aggregate, hold less than % (Ten percent) of the Share Capital under any circumstances, all rights, but not the obligations available to such Party and/or its Affiliates, as the case may be, under this Agreement, shall fall away, save and except the right to receive information under Clause .",ii event either party affiliate aggregate hold le ten percent share capital circumstance right obligation available party andor affiliate case may agreement shall fall away save except right receive information clause
" Whenever it is proposed that a Transfer of Equity Securities takes place in accordance with this Agreement, the Company and the third-party transferee shall ensure that any Approvals, including, where necessary, the approval of the Reserve Bank of India, are obtained prior to the registration of any Transfer.",whenever proposed transfer equity security take place accordance agreement company thirdparty transferee shall ensure approval including necessary approval reserve bank india obtained prior registration transfer
 The Shareholders shall provide all reasonable assistance in this regard.,shareholder shall provide reasonable assistance regard
" Any time periods in this Agreement relating to the Transfer of Equity Securities will be extended until such Approvals have been obtained or officially and finally denied, provided that the Person seeking to extend such acceptable period shall have used reasonable efforts in obtaining such Approvals.",time period agreement relating transfer equity security extended approval obtained officially finally denied provided person seeking extend acceptable period shall used reasonable effort obtaining approval
" initial public offering Subject to Applicable Laws and this Agreement, the initial public offering of the Company shall be undertaken in a form and manner that is mutually agreed between Parties.",initial public offering subject applicable law agreement initial public offering company shall undertaken form manner mutually agreed party
" In the event an initial public offering of the Company is proposed, Parties shall undertake such further actions and shall procure that the Company undertakes such further actions as are necessary to successfully consummate the initial public offering of the Company in accordance with Applicable Laws.",event initial public offering company proposed party shall undertake action shall procure company undertakes action necessary successfully consummate initial public offering company accordance applicable law
 DEADLOCK RESOLUTION In the event that the Shareholders or Directors are unable to reach a consensus on any Company Reserved Matter or requisite quorum as mentioned in Clause .,deadlock resolution event shareholder director unable reach consensus company reserved matter requisite quorum mentioned clause
 and/or Clause .,andor clause
" with respect to a Company Reserved Matter is not present on  (three) consecutive Board meetings (including Reconvened Board Meeting and Second Reconvened Board Meeting) and / or  (three) consecutive General Meeting (including Reconvened General Meeting and Second Reconvened General Meeting), the Parties shall attempt to resolve such disagreement or deemed disagreement through amicable negotiations and in good faith and by reasonable and appropriate means within a period of  (ninety) Business Days of such disagreement first arising (unless extended by the Parties in writing).",respect company reserved matter present three consecutive board meeting including reconvened board meeting second reconvened board meeting three consecutive general meeting including reconvened general meeting second reconvened general meeting party shall attempt resolve disagreement deemed disagreement amicable negotiation good faith reasonable appropriate mean within period ninety business day disagreement first arising unless extended party writing
" In the event that the Parties are unable to resolve such disagreement within the aforesaid period, the subject matter of the disagreement (""Deadlock Matter"") shall be regarded to have resulted in a deadlock and shall be referred to the respective Chief Executive Officers of Mike and MSL (the ""Representatives"").",event party unable resolve disagreement within aforesaid period subject matter disagreement deadlock matter shall regarded resulted deadlock shall referred respective chief executive officer mike msl representative
 The Representatives shall meet in order to arrive at a resolution with respect to the Deadlock Matter.,representative shall meet order arrive resolution respect deadlock matter
" In the event the respective Chief Executive Officers of Mike and MSL are unable to resolve the Deadlock Matter within a period of  (ninety) Business Days from the date on which the Deadlock Matter has been referred to the last of them, then, the Parties shall jointly refer the Deadlock Matter to a third-party expert as may be mutually agreed to in writing between the Chief Executive Officer of MSL and Chief Executive Officer of Mike (“Mediator”), who shall provide his / her / its recommended advice in respect of the Deadlock Matter.",event respective chief executive officer mike msl unable resolve deadlock matter within period ninety business day date deadlock matter referred last party shall jointly refer deadlock matter thirdparty expert may mutually agreed writing chief executive officer msl chief executive officer mike mediator shall provide recommended advice respect deadlock matter
" It is clarified that any advice as may be provided by the Mediator in respect of the Deadlock Matter shall be advisory and recommendatory in nature only, and non-binding on the Parties.",clarified advice may provided mediator respect deadlock matter shall advisory recommendatory nature nonbinding party
 Parties hereby agree to fully cooperate with the Mediator in providing the Mediator with all requisite information as may be required by the Mediator to provide his / her / its advice in respect of the Deadlock Matter.,party hereby agree fully cooperate mediator providing mediator requisite information may required mediator provide advice respect deadlock matter
" In the event the Parties agree to accept the advice as may be provided by the Mediator, the Parties shall forthwith take necessary steps to comply with and implement such advice of the Mediator.",event party agree accept advice may provided mediator party shall forthwith take necessary step comply implement advice mediator
" The cost of mediation, if any, including the fees and expenses of the Mediator shall be borne by the Company.",cost mediation including fee expense mediator shall borne company
" In the event of occurrence of a deadlock, the Parties agree that the Company will continue to operate its business in a normal way and in ordinary course, except for those issues, which are subject matter(s) of the Deadlock Matter.",event occurrence deadlock party agree company continue operate business normal way ordinary course except issue subject matter deadlock matter
" event of default Either Shareholder (the “Non-Defaulting Party”) may give a written notice (“Default Notice”) of  (thirty) Business Days (“Cure Period”) to the other Shareholder (the “Defaulting Party”) upon the occurrence of any of the following events, and the Defaulting Party will be required to cure such default within the Cure Period: if the Defaulting Party has entered into or resolved to enter into winding-up or an arrangement, composition or compromise with or assignment for the benefit of its creditors generally or any class of creditors; or The Defaulting Party becomes insolvent or any voluntary or involuntary winding- up / dissolution proceedings are initiated by the Defaulting Party or determined against the Defaulting Party (as the case maybe); or If there is a Government expropriation, nationalization or condemnation of all or substantial part of the assets or capital stock of the Defaulting Party; or if the Defaulting Party commits a material breach of this Agreement.",event default either shareholder nondefaulting party may give written notice default notice thirty business day cure period shareholder defaulting party upon occurrence following event defaulting party required cure default within cure period defaulting party entered resolved enter windingup arrangement composition compromise assignment benefit creditor generally class creditor defaulting party becomes insolvent voluntary involuntary winding dissolution proceeding initiated defaulting party determined defaulting party case maybe government expropriation nationalization condemnation substantial part asset capital stock defaulting party defaulting party commits material breach agreement
 In the event the Defaulting Party fails to cure an event set out in Clauses .,event defaulting party fails cure event set clause
" within the Cure Period, an event of termination (“Termination Event”) shall be deemed to have occurred, following which the Non-Defaulting Party shall at its own discretion, in addition to any other rights which it may have at Applicable Law or in equity to terminate the Agreement, give a written notice (“Option Exercise Date”) to: subject to Clause .",within cure period event termination termination event shall deemed occurred following nondefaulting party shall discretion addition right may applicable law equity terminate agreement give written notice option exercise date subject clause
" and Applicable Laws, put and sell all the Equity Securities held by the Non-Defaulting Party (together with its Affiliates) to the Defaulting Party, and the Defaulting Party shall purchase all the Equity Securities of the Non-Defaulting Party at a premium of % (ten percent) above the Fair Market Value of the Non-Defaulting Party’s Equity Securities (“Premium Put Price”); or subject to Clause .",applicable law put sell equity security held nondefaulting party together affiliate defaulting party defaulting party shall purchase equity security nondefaulting party premium ten percent fair market value nondefaulting party equity security premium put price subject clause
" and Applicable Laws, call and purchase all the Equity Securities held by the Defaulting Party (together with its Affiliates), and the Defaulting Party shall sell all the Equity Securities of the Defaulting Party and/or its Affiliates at a discount of % (ten percent) to the Fair Market Value of the Equity Securities of the Defaulting Party (“Discounted Call Price”).",applicable law call purchase equity security held defaulting party together affiliate defaulting party shall sell equity security defaulting party andor affiliate discount ten percent fair market value equity security defaulting party discounted call price
" Within  (ten) Business Days from the Option Exercise Date, the Defaulting Party and Non-Defaulting Party shall mutually agree on the identity of the accounting firm (which for the sake of clarity shall be one of the Big Four Accounting Firms or any other accounting firm of international repute in India being a registered chartered accountant in India or a merchant banker registered with the SEBI), which shall determine the Fair Market Value.",within ten business day option exercise date defaulting party nondefaulting party shall mutually agree identity accounting firm sake clarity shall one big four accounting firm accounting firm international repute india registered chartered accountant india merchant banker registered sebi shall determine fair market value
 It is clarified that the Fair Market Value shall be determined in accordance with the mechanism as set out in the definition of “Fair Market Value” as set out in Clause .,clarified fair market value shall determined accordance mechanism set definition fair market value set clause
" of this Agreement, within a period of  (sixty) Business Days from the Option Exercise Date.",agreement within period sixty business day option exercise date
" Provided further, in the event the Parties are unable to agree upon the identity of the accounting firm within the aforesaid time period, then, both the Defaulting Party and the Non-Defaulting Party shall each be entitled to appoint a Big Four Accounting Firm or any other accounting firm of international repute, of its choice, which shall each determine the Fair Market Value in the manner contemplated under Clause .",provided event party unable agree upon identity accounting firm within aforesaid time period defaulting party nondefaulting party shall entitled appoint big four accounting firm accounting firm international repute choice shall determine fair market value manner contemplated clause
" Further, the average of the Fair Market Value as may be determined by such firm appointed by each of the Defaulting Party and Non-Defaulting Party shall be the “Fair Market Value” for the purposes of this Clause , and shall be final and binding on the Parties.",average fair market value may determined firm appointed defaulting party nondefaulting party shall fair market value purpose clause shall final binding party
 Any sale or purchase of Equity Securities pursuant to exercise of rights by Non-Defaulting Party under Clause .,sale purchase equity security pursuant exercise right nondefaulting party clause
" shall be completed within  (one hundred and fifty) Business Days from the Option Exercise Date, or if an Approval from any Governmental Authority is required for such sale and purchase, then within  (fifteen) Business Days from the date of receipt of all such Approvals, whichever is later.",shall completed within one hundred fifty business day option exercise date approval governmental authority required sale purchase within fifteen business day date receipt approval whichever later
" The Defaulting Party shall co-operate with the Non-Defaulting Party and take all steps necessary to give effect to the provisions of this Clause , including passing of all necessary resolutions and obtaining all necessary approvals and/or consents (from Governmental Authorities, third parties or otherwise).",defaulting party shall cooperate nondefaulting party take step necessary give effect provision clause including passing necessary resolution obtaining necessary approval andor consent governmental authority third party otherwise
 In the event Mike is a Non-Defaulting Party and this Agreement is terminated by Mike pursuant to Clause .,event mike nondefaulting party agreement terminated mike pursuant clause
", Mike shall, as an alternate to its rights under Clause .",mike shall alternate right clause
" above, be entitled to either: put and sell all the Equity Securities held by Mike (together with its Affiliates) to MSL, and MSL shall purchase all the Equity Securities of Mike at a price equivalent to Fair Market Value and simultaneously with the closing of the sale or purchase of the Equity Securities contemplated under this Clause .",entitled either put sell equity security held mike together affiliate msl msl shall purchase equity security mike price equivalent fair market value simultaneously closing sale purchase equity security contemplated clause
", MSL hereby agrees to forthwith indemnify Mike or compensate Mike as damages, a sum equal to the difference between the Premium Put Price and the Fair Market Value for the Equity Securities so Transferred; or call and purchase all the Equity Securities held by the MSL (together with its Affiliates), and MSL shall sell all the Equity Securities of MSL and/or its Affiliates at a price equivalent to the Fair Market Value and simultaneously with such Transfer contemplated under this Clause .",msl hereby agrees forthwith indemnify mike compensate mike damage sum equal difference premium put price fair market value equity security transferred call purchase equity security held msl together affiliate msl shall sell equity security msl andor affiliate price equivalent fair market value simultaneously transfer contemplated clause
", MSL hereby agrees to forthwith indemnify Mike or compensate Mike as damages, a sum equal to the difference between the Fair Market Value for the Equity Securities and the Discounted Call Price.",msl hereby agrees forthwith indemnify mike compensate mike damage sum equal difference fair market value equity security discounted call price
 It is clarified that the provisions of Clause .,clarified provision clause
 to .,
 shall apply to the put or call option as may be exercised by Mike under Clause .,shall apply put call option may exercised mike clause
 as well.,well
 It is further agreed that in the event the Parties are unable to consummate the transactions contemplated under this Clause .,agreed event party unable consummate transaction contemplated clause
